player_id,position
14054,TE
14886,RB
16040,RB
10475,TE
12460,K
15788,TE
17133,RB
11439,WR
13232,TE
14129,RB
11122,K
3071572,WR
3052177,WR
16760,QB
15994,RB
2576019,WR
3045260,RB
15102,WR
14145,TE
14402,WR
11270,WR
2577253,RB
1097,K
10636,K
16783,RB
16787,WR
5526,QB
13213,RB
2971589,RB
4527,TE
13271,WR
11238,RB
15848,RB
9705,WR
2576336,RB
11247,RB
14322,K
16886,WR
14851,WR
11788,RB
2575408,RB
11278,RB
17427,K
11295,TE
11307,RB
15918,K
15952,RB
2978929,WR
15965,K
2576980,QB
14005,RB
14012,QB
14017,RB
14032,WR
10453,WR
5362,TE
12556,WR
2980148,RB
12579,WR
12601,WR
2576237,RB
14163,QB
3051889,WR
8544,RB
17258,WR
4459,QB
16749,RB
14193,RB
16763,WR
17284,RB
9613,RB
13204,RB
2982828,WR
-16004,D/ST
12699,TE
13214,RB
-16013,D/ST
16803,RB
15786,WR
15855,RB
2515416,RB
11258,RB
15873,WR
2978887,K
14900,TE
14901,TE
14908,WR
2622,WR
16976,K
11364,TE
11923,K
16020,RB
15009,RB
14518,RB
2579604,WR
11467,RB
12497,RB
15058,K
2971888,RB
15062,WR
12503,RB
2577654,RB
2980105,RB
2976516,RB
14583,WR
13587,RB
8475,WR
16724,QB
14204,TE
13197,QB
16784,RB
13203,RB
1428,QB
16793,WR
16794,RB
16795,TE
4512,WR
-16019,D/ST
13225,WR
15823,RB
16339,K
9684,TE
11252,QB
16889,RB
15364,RB
15878,WR
11276,WR
15885,WR
2578,WR
15893,RB
16921,RB
14877,QB
2576395,WR
16950,RB
14909,WR
14914,WR
5209,QB
2148,K
9838,WR
15996,RB
16013,RB
14001,QB
17082,K
15041,RB
11458,WR
10447,WR
13536,RB
13553,WR
8442,WR
12569,WR
2971433,WR
16728,QB
4461,WR
14189,TE
9588,RB
9592,TE
13207,RB
13210,RB
13211,RB
1440,K
9638,WR
5549,RB
9646,RB
13231,TE
10693,RB
10195,RB
15832,RB
10713,RB
15845,WR
11754,RB
15358,WR
14360,RB
11289,RB
14875,QB
14884,RB
14891,RB
14911,WR
9329,K
13958,WR
16530,RB
12489,RB
14028,RB
12500,RB
10467,WR
12516,RB
8444,TE
12568,WR
10522,WR
12576,WR
12586,WR
5941,WR
14153,WR
16736,QB
14184,WR
14186,RB
14192,RB
9597,QB
10621,K
