season,week,transaction_id,related_transaction_id,transaction_type,status,espn_team_id,bid_amount,item_type,player_id,player_name,from_team_id,to_team_id,date
2020,2,a979a1ee-542c-47fa-8b91-ef2ad489d10d,9197d058-61b3-405a-a029-897d7f9d6916,WAIVER,EXECUTED,13,3,DROP,3135321.0,Hunter Renfrow,13.0,0.0,2020-09-16
2020,2,a3041ed6-e442-45e1-b96c-19b30821b2bc,29336c8e-c2d1-4770-97a8-6119258cc46f,WAIVER,FAILED_INVALIDPLAYERSOURCE,7,10,ADD,3916430.0,Nyheim Hines,0.0,7.0,2020-09-16
2020,2,a3041ed6-e442-45e1-b96c-19b30821b2bc,29336c8e-c2d1-4770-97a8-6119258cc46f,WAIVER,FAILED_INVALIDPLAYERSOURCE,7,10,DROP,3045260.0,Corey Clement,7.0,0.0,2020-09-16
2020,2,c84bf8fe-9a56-49b7-8dee-79d7c63099f1,9cb2abad-2185-4995-91ed-a8cbf93ea050,WAIVER,FAILED_INVALIDPLAYERSOURCE,2,20,ADD,3916430.0,Nyheim Hines,0.0,2.0,2020-09-16
2020,2,c84bf8fe-9a56-49b7-8dee-79d7c63099f1,9cb2abad-2185-4995-91ed-a8cbf93ea050,WAIVER,FAILED_INVALIDPLAYERSOURCE,2,20,DROP,12514.0,LeSean McCoy,2.0,0.0,2020-09-16
2020,2,bf481ca8-9cc2-4ed5-a7d7-26ee3eaee935,,FREEAGENT,EXECUTED,7,0,ADD,8479.0,Frank Gore,0.0,7.0,2020-09-19
2020,2,029f4c3c-e241-415f-a673-9a1239f3518f,,WAIVER,PENDING,10,1,ADD,15920.0,Latavius Murray,0.0,10.0,2020-09-16
2020,2,029f4c3c-e241-415f-a673-9a1239f3518f,,WAIVER,PENDING,10,1,DROP,3116136.0,Justin Jackson,10.0,0.0,2020-09-16
2020,2,12119b05-871c-443f-898f-00efa7dfa86e,,FREEAGENT,EXECUTED,5,0,ADD,3914397.0,Scotty Miller,0.0,5.0,2020-09-16
2020,2,12119b05-871c-443f-898f-00efa7dfa86e,,FREEAGENT,EXECUTED,5,0,DROP,3116164.0,Mike Gesicki,5.0,0.0,2020-09-16
2020,2,65e59a97-12c8-4e2d-84f1-e481a2f25e30,,WAIVER,PENDING,10,13,ADD,3916430.0,Nyheim Hines,0.0,10.0,2020-09-15
2020,2,65e59a97-12c8-4e2d-84f1-e481a2f25e30,,WAIVER,PENDING,10,13,DROP,15966.0,Chris Thompson,10.0,0.0,2020-09-15
2020,2,b49f7f86-cde8-4f08-82ec-e587d2714759,,FREEAGENT,EXECUTED,9,0,ADD,4035072.0,Benny Snell Jr.,0.0,9.0,2020-09-16
2020,2,b49f7f86-cde8-4f08-82ec-e587d2714759,,FREEAGENT,EXECUTED,9,0,DROP,4035687.0,Michael Pittman Jr.,9.0,0.0,2020-09-16
2020,2,0890b8a0-3251-4376-aeec-47c688c6a176,029f4c3c-e241-415f-a673-9a1239f3518f,WAIVER,EXECUTED,10,5,ADD,15920.0,Latavius Murray,0.0,10.0,2020-09-17
2020,2,0890b8a0-3251-4376-aeec-47c688c6a176,029f4c3c-e241-415f-a673-9a1239f3518f,WAIVER,EXECUTED,10,5,DROP,3116136.0,Justin Jackson,10.0,0.0,2020-09-17
2020,2,c50d661b-2cfd-4eae-8c16-6ee00a3623b9,10749cba-31ef-47e3-bfa5-d5d96d25ca2e,WAIVER,EXECUTED,1,25,ADD,2570986.0,Malcolm Brown,0.0,1.0,2020-09-16
2020,2,c50d661b-2cfd-4eae-8c16-6ee00a3623b9,10749cba-31ef-47e3-bfa5-d5d96d25ca2e,WAIVER,EXECUTED,1,25,DROP,3115306.0,Josh Reynolds,1.0,0.0,2020-09-16
2020,2,324a0cc1-0d0e-4d8d-9234-20dfa8729228,b3eec639-59d0-4d03-b349-314592c84cde,WAIVER,FAILED_INVALIDPLAYERSOURCE,12,20,ADD,2570986.0,Malcolm Brown,0.0,12.0,2020-09-16
2020,2,324a0cc1-0d0e-4d8d-9234-20dfa8729228,b3eec639-59d0-4d03-b349-314592c84cde,WAIVER,FAILED_INVALIDPLAYERSOURCE,12,20,DROP,2969962.0,Duke Johnson,12.0,0.0,2020-09-16
2020,2,f2071b45-5b6e-4ce2-8b07-7d5faa1c41e8,5117dfca-a9d5-422f-8aab-68649994cc55,TRADE_DECLINE,EXECUTED,3,0,,,,,,2020-09-18
2020,2,ea234da4-fcf2-4542-97fc-da76cbea521a,f6a22ce7-578e-4fd0-9000-5790827a8968,WAIVER,FAILED_PLAYERALREADYDROPPED,7,2,ADD,3042778.0,Corey Davis,0.0,7.0,2020-09-16
